題目編號,題目,答題選項1,答題選項2,答題選項3,答題選項4,答案編號
149,愛德溫·鮑威爾·哈伯 (Edwin Powell Hubble) 使用哪一種變星證明了 M31 不在我們的銀河系內?,食變星,米拉變星,造父變星,Ia 型超新星,3
150,"藍掉隊星 (Blue straggler,藍離散星)是在星團的赫羅圖中,比拐點恆星更亮和更藍的恆星。目前的主流理論認為它們是?",被該星團捕獲的恆星,星團中的恆星合併,星團中較晚誕生的年輕恆星,只是前景或同視場中的恆星,2
151,"關於銀河系在太空中的真實樣貌,下列的描述何者正確?",銀河系是一個橢圓星系,銀河系屬於一種活躍星系,銀河系的樣貌是經由氫原子發出的 21 公分譜線所推算出來的,銀河系未來會與它最近的鄰居三角座星系相互碰撞,3
152,"2020 的諾貝爾物理獎,其中有一半是表揚銀河系中心超大質量黑洞的發現。下列對於銀河系中心超大質量黑洞的敘述何者正確?",超大質量黑洞的質量為太陽的 1000 萬倍,第一張銀河系中心超大質量黑洞的影像是由可見光望遠鏡所拍攝到的,此黑洞的質量是由繞行在黑洞周圍的恆星軌道運動所推算出來的,銀河系的中心位置處於天空中的獅子座,3
153,"星團赫羅圖是研究恆星演化的利器,比對主序帶與恆星離開主序帶的轉離點 (Turn-off point),可以獲知何種訊息?",星團的年齡,星團的距離,星團的化學組成,星團的成員多寡,1
154,"比較橢圓星系與螺旋星系的基本性質,下列何者有誤?",橢圓星系內部的氣體和塵埃比螺旋星系少很多,橢圓星系裡的恆星年齡平均比螺旋星系裡的恆星年老,橢圓星系裡的恆星運動是以固定軌道繞著星系中心運行,螺旋星系的中央都有一個超大質量黑洞,3
155,"依據星系的哈伯分類法,我們的銀河系是屬於哪一分類?",橢圓星系,螺旋星系,棒旋星系,不規則星系,3
156,"若要測量鄰近星系的距離,下列何者方式可能最不適用?",測量星系中的造父變星光變週期,測量星系中的食雙星得出絕對星等,觀測星系中的超新星爆炸得到絕對星等,觀測星系的光度紅移程度,4
157,針對球狀星團的敘述何者不正確?,"在一個星系中,球狀星團的數量比疏散星團多",越大的星系擁有的球狀星團越多,球狀星團的恆星向星團核心高度集中,球狀星團多數分布在星系暈中,1
158,"宇宙微波背景輻射是證實宇宙大霹靂理論非常重要的證據,下列關於宇宙微波背景輻射的敘述何者正確?","全天的宇宙微波背景輻射溫度都相同,沒有絲毫溫度差異",宇宙微波背景輻射曲線與 2.73K 的黑體輻射曲線相同,第一台升空的宇宙微波背景輻射探測器為普朗克衛星,"我們以宇宙微波背景輻射探測器的數據所推算出來的宇宙組成中,23%是一般物質,73%是暗物質,4%是暗能量",2
159,"宇宙的組成中,佔比最高的是?",恆星,氣體,暗能量,暗物質,3
160,"2019 年,人類拍到第一張黑洞的影像,這個黑洞位於橢圓星系 M87 的中央,下列有關這個黑洞的敘述何者正確?",這是個恆星質量等級的黑洞,這個黑洞處在一個活躍星系核的中心,這個黑洞是個不具有吸積盤的特殊黑洞,這個黑洞沒有偵測到噴流的現象,2
161,"2022 年,事件視界望遠鏡公布第二張黑洞照片,該黑洞位於?",銀河系中心,M87 星系,M31 星系,類星體 3C279,1
162,"國際太空站寬度約 100 公尺,軌道高度約 400 公里,當國際太空站從正天頂通過時,其視直徑約有多大?",50 角分,5 角分,50 角秒,5 角秒,3
163,請依出版年份先後排序下列天文學家著作: (a) 牛頓《自然哲學的數學原理》 (b) 克卜勒《新天文學》 (c) 第谷《新天文學儀器》 (d) 伽利略《星際信使》,c-d-b-a,b-c-a-d,c-d-b-a,c-b-d-a,4
164,"恆星的拜耳命名法被認為是依照恆星的亮度來命名,所以星座中最亮的恆星通常是α 星,下列那個星座的最亮星不是該星座的 α 星?",獅子座,天蠍座,天鵝座,雙子座,4
165,"臺灣目前參與許多國際大型望遠鏡的建造及營運,其中位於北極的格陵蘭望遠鏡,其主要觀測目標是?",太陽系天體,恆星生成區,系外行星,黑洞,4
166,臺灣首座通過國際暗天協會 (IDA) 認證的暗空公園位在何處?,澎湖縣七美,南投縣合歡山,南投縣玉山塔塔加,屏東縣旭海,2
167,"眾所周知彗星是以發現者的名字來命名,但下列那一顆彗星不是以發現者的名字命名的?",恩克彗星 (Comet Encke),威斯特彗星 (Comet West),百武彗星 (Comet Hyakutake),麥克諾特彗星 (Comet McNaught),1
168,"宇宙中可以用來測量距離的方法有下列幾種: (a) 造父變星 (b) Ia 型超新星 (c) 視差法 (d) 哈伯-勒梅特定律,請問這些方法所適用的距離由小到大排序為何?",c-b-a-d,a-b-c-d,c-a-b-d,d-c-a-b,3
169,"內行星在大距時,透過天文望遠鏡觀測會呈現何種形狀?",眉月形,弦月形,凸月形,滿月,2
170,"某折射式望遠鏡的焦距為 530mm、口徑 106mm,下列何者正確?",放大倍率為 5 倍,焦比為 f/5,集光力為肉眼 (口徑 7mm) 的 75 倍,極限星等為 10.6 等,2
171,"目前人類對於暗物質的觀測都是間接的,下列哪個不是用來證實暗物質存在的觀測方法?",星系團的重力透鏡效應,螺旋星系外圍的恆星旋轉速度,后髮座星系團裡的星系移動速度,星系中央黑洞的自旋速度,4
172,"詹姆斯·韋伯太空望遠鏡是一台非常強大的紅外線太空望遠鏡,紅外線對於觀測宇宙有什麼優勢?下列何者正確?","紅外線可以偵測到更暗更冷的天體,像是遙遠的系外行星","紅外線可以穿透充滿塵埃和氣體的分子雲,讓我們得以研究恆星演化的細節","紅外線可以讓我們偵測到宇宙發出的第一道光, 並研究早期宇宙的星系演化",以上皆是,4
173,"宇宙微波背景輻射的光子穿越星系團中的高能電子,發生逆康普頓散射而導致觀測到的微波背景輻射被小幅度地加溫的現象,稱為什麼?",SZ 效應 (Sunyaev-Zel'dovich effect),Λ-冷暗物質模型 (ΛCDM),萊曼斷裂星系 (Lyman-break galaxy),禁制譜線 (Forbidden Lines),1
174,"截至目前,哪一個國家的太空船曾經成功在月球的背面著陸?",美國,蘇聯,中國,印度,3
175,"當使用天文望遠鏡攝影時,使用同一部相機,但更換到焦長更長的望遠鏡時,會得到什麼結果?",視野變得更廣,每個畫素所佔的角度變小,天體的視直徑變得更小,不啟動追蹤時天體移動的角速度變得更慢,2
176,"中研院合作興建的次毫米波陣列 (SMA)望遠鏡一共有 8 座天線,它座落於何處?",臺灣鹿林前山,夏威夷毛納基峰,智利阿塔卡瑪沙漠,美國威爾遜山,2
177,"2006 年 8 月國際天文學聯合會正式定義與重新分類太陽系的天體,新增了矮行星的分類。造成這種改變的主因之一是哪一顆矮行星?",穀神星,鳥神星,鬩神星,妊神星,3
178,"小行星是太陽系中可以用人名命名的天體,但哪一種身分的人命名受到限制?",科學家,政治家,藝術家,文學家,2
179,對黃道 12 星座和黃道 12 宮的敘述何者不正確?,"黃道 12 宮的每一宮在黃道有相同的經度跨度,黃道 12 星座的經度跨度則不同",春分點會在黃道星座中移動,"白羊宮是 12 宮之首,決定了春分點的位置",黃道 12 宮起源於巴比倫的占星術,3
180,"下列天體的視直徑大小,何者明顯不合理?",木星:49 角秒,月球:33 角分,天王星:3.7 角秒,銀河系中心黑洞:0.8 角秒,4
181,"電磁波的波長與頻率的關係:νλ = c,ν是頻率 (單位 Hz,即 1/s),λ是波長 (單位m),c 是光速 (3 × 108 m/s)。已知氫原子在太空中會輻射出波長 21 公分的無線電波,請問這電波的頻率是多少?",1500 kHz,230 MHz,1420 MHz,5500 MHz,3
182,"維恩定律 (Wien's law) 描述黑體輻射光譜的峰值波長與其溫度的關係:λmax =0.0029/T(K·m)。我們的太陽表面溫度大約 5800K,請問太陽表面溫度的黑體輻射峰值所在的波長大約是多少?",500 nm,700 nm,900 nm,1200 nm,1
183,"巴耳曼光譜系 (Balmer series) 是很常見的氫原子光譜發射譜線系列,主要是因為電子吸收光子能量進入激發態,之後再回到主量子數 n=2 的量子狀態時所釋放出的譜線。Hα 譜線就是常見的巴耳曼系譜線,例如我們所熟悉獵戶座大星雲中就可以偵測到大量的Hα 譜線。請問Hα 譜線是電子從主量子數 n 多少跳回 n=2?",n=6,n=5,n=4,n=3,4
184,"請依軌道與地表高度,由近至遠排列下列人造天體: (a)哈伯太空望遠鏡 (b)國際太空站 (c)詹姆斯·韋伯太空望遠鏡 (d)向日葵八號氣象衛星",a-b-c-d,b-a-c-d,b-d-a-c,b-a-d-c,4
